Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Bakeware items included (product.metafields.shopify.bakeware-items-included),Bakeware pieces included (product.metafields.shopify.bakeware-pieces-included),Cleaning instructions (product.metafields.shopify.cleaning-instructions),Color (product.metafields.shopify.color-pattern),Compatible stove top type (product.metafields.shopify.compatible-stove-top-type),Cookware/Bakeware material (product.metafields.shopify.cookware-bakeware-material),Cookware items included (product.metafields.shopify.cookware-items-included),Dinnerware pieces included (product.metafields.shopify.dinnerware-pieces-included),Drinkware material (product.metafields.shopify.drinkware-material),Drinkware pieces included (product.metafields.shopify.drinkware-pieces-included),Features (product.metafields.shopify.features),Food storage material (product.metafields.shopify.food-storage-material),Hardware material (product.metafields.shopify.hardware-material),Material (product.metafields.shopify.material),Shape (product.metafields.shopify.shape),Tableware material (product.metafields.shopify.tableware-material),Tool/Utensil material (product.metafields.shopify.tool-utensil-material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Price / Pakistan,Compare At Price / Pakistan,Status
cultural-art-tray,Cultural Art Tray,"<main id=""MainContent"" class=""content-for-layout focus-none"" role=""main"" tabindex=""-1"">
<section id=""shopify-section-template--24024098341179__main"" class=""shopify-section section"">
<section class=""product-popup"">
<div class=""product-popup-wrap"">
<div class=""box-keyfeatures showfirst"">
<div class=""mpi-about-product-box"">
<h5>Key Features</h5>
<ul>
<li class=""first"">Size: 9x15 inches</li>
<li>Material: Bernatiq or Natural Wood</li>
<li>Diverse Cultural Themes: The tray features intricate designs and patterns inspired by various cultures around the world, embracing a harmonious blend of artistic elements.</li>
<li>Quality Materials: Crafted from high-quality materials such as wood, ceramics, or sustainable materials, ensuring durability and a refined finish.</li>
<li>Handcrafted Artistry: Many Cultural Art Trays are handmade by skilled artisans, adding a touch of authenticity and preserving traditional crafting techniques.</li>
<li class=""last"">Functional Design: While showcasing cultural art, the tray maintains practicality, offering a functional surface for serving refreshments, displaying small items, or acting as a decorative centerpiece.</li>
</ul>
</div>
</div>
</div>
</section>
</section>
<section id=""shopify-section-template--24024098341179__1707733094f9ded1c0"" class=""shopify-section section"">
<div class=""page-width""><br></div>
</section>
</main>
<div id=""shopify-section-footer"" class=""shopify-section"">
<section class=""why-powerhouse"">
<ul class=""wph-list"">
<li class=""first"">
<div class=""wph-box""></div>
</li>
</ul>
</section>
</div>",ORCHEEE,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Trays,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,3500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/cultural-art-tray.jpg?v=1745737561,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
cultural-art-tray,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/apna-karachi-tray1.jpg?v=1745737561,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saqafati-design-art-tray,Saqafati Design Art Tray,"<main id=""MainContent"" class=""content-for-layout focus-none"" role=""main"" tabindex=""-1"">
<section id=""shopify-section-template--24024098373947__main"" class=""shopify-section section"">
<section class=""product-popup"">
<div class=""product-popup-wrap"">
<div class=""box-keyfeatures showfirst"">
<div class=""mpi-about-product-box"">
<h5>Key Features</h5>
<ul>
<li class=""first"">Size: 9x15 inches</li>
<li>Material: Bernatiq or Natural Wood</li>
<li>Cultural Fusion: The Saqafati Design Art Tray is a testament to cultural fusion, seamlessly blending various artistic elements. Its design draws inspiration from diverse cultural motifs, creating a harmonious visual tapestry that celebrates global heritage.</li>
<li>Intricate Artistry: Immerse yourself in the intricacy of the tray's design, which reflects the skilled artistry of different cultures. From geometric patterns to symbolic representations, each detail tells a story and adds depth to the overall aesthetic.</li>
<li>Aesthetic Décor Accent: Whether placed on a dining table, coffee table, or kitchen counter, the Saqafati Design Art Tray doubles as an aesthetic décor accent. It becomes a conversation piece, reflecting your appreciation for diverse cultural artistry.</li>
<li class=""last"">Express Your Global Perspective: Showcase your global perspective and appreciation for different cultures through the Saqafati Design Art Tray. Let it be a symbol of unity that transcends borders and encourages dialogue about the richness of our collective heritage.</li>
</ul>
</div>
</div>
</div>
</section>
</section>
<section id=""shopify-section-template--24024098373947__1707733094f9ded1c0"" class=""shopify-section section"">
<div class=""page-width""><br></div>
</section>
</main>
<div id=""shopify-section-footer"" class=""shopify-section"">
<section class=""why-powerhouse"">
<ul class=""wph-list"">
<li class=""first"">
<div class=""wph-box""></div>
</li>
</ul>
</section>
</div>",ORCHEEE,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Trays,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,3500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/saqafati-design-art-tray.jpg?v=1745735578,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
saqafati-design-art-tray,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/saqafati-design-art-tray_ad0035f0-159b-447d-a411-b99f9c88235f.jpg?v=1745735579,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beautiful-design-art-tray,Beautiful Design Art Tray,"<main id=""MainContent"" class=""content-for-layout focus-none"" role=""main"" tabindex=""-1"">
<section id=""shopify-section-template--24024098373947__main"" class=""shopify-section section"">
<section class=""product-popup"">
<div class=""product-popup-wrap"">
<div class=""box-keyfeatures showfirst"">
<div class=""mpi-about-product-box"">
<h5>Key Features</h5>
<ul>
<li class=""first"">Size: 9x15 inches</li>
<li>Material: Bernatiq or Natural Wood</li>
<li>Elegant Aesthetics: The Beautiful Design Art Tray stands out with its stunning aesthetics, making it a statement piece for any room. Its design reflects a harmonious blend of contemporary style and timeless beauty.</li>
<li>Quality Craftsmanship: Crafted with precision and attention to detail, this tray exhibits top-notch craftsmanship. The high-quality materials ensure longevity and the flawless finish speaks volumes about its superior construction.</li>
<li>Easy Handling: Designed with user convenience in mind, the tray features comfortable handles for easy carrying. Whether you're navigating a crowded room or simply transferring items from one space to another, this tray ensures a comfortable grip.</li>
<li class=""last"">Perfect Gift: The Beautiful Design Art Tray makes for an exquisite gift for special occasions. Its luxurious appearance and practicality make it an ideal present for housewarmings, weddings, or any celebration that calls for a touch of sophistication.</li>
</ul>
</div>
</div>
</div>
</section>
</section>
<section id=""shopify-section-template--24024098373947__1707733094f9ded1c0"" class=""shopify-section section"">
<div class=""page-width""><br></div>
</section>
</main>
<div id=""shopify-section-footer"" class=""shopify-section"">
<section class=""why-powerhouse"">
<ul class=""wph-list"">
<li class=""first"">
<div class=""wph-box""></div>
</li>
</ul>
</section>
</div>",ORCHEEE,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Trays,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,3500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/beautiful-design-art-tray_450dddaa-b9fb-466f-b082-fe31195cc493.jpg?v=1745737263,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
beautiful-design-art-tray,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/beautiful-design-art-tray.jpg?v=1745737263,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic-rickshaw-art-tray,Classic Rickshaw Art Tray,"<main id=""MainContent"" class=""content-for-layout focus-none"" role=""main"" tabindex=""-1"">
<section id=""shopify-section-template--24024098373947__main"" class=""shopify-section section"">
<section class=""product-popup"">
<div class=""product-popup-wrap"">
<div class=""box-keyfeatures showfirst"">
<div class=""mpi-about-product-box"">
<h5>Key Features</h5>
<ul>
<li class=""first"">Size: 8x14.5 inches</li>
<li>Material: Bernatiq or Natural Wood</li>
<li>Rickshaw Motif: The focal point of the tray is a beautifully depicted Rickshaw, capturing the essence of traditional transportation in Pakistan. Every detail, from the colorful exterior to the ornate decorations, reflects the artistry associated with these iconic vehicles.</li>
<li>Vivid Colors: The tray bursts with a palette of vivid colors, mirroring the lively and spirited nature of Pakistani culture. Each hue is carefully chosen to evoke a sense of joy and festivity, making it a delightful addition to any setting.</li>
<li>Handcrafted Elegance: Meticulously handcrafted, the tray showcases the skillful work of artisans who have poured their expertise into every inch. The result is a piece that not only serves a practical purpose but also stands as a work of art.</li>
<li class=""last"">Cultural Details: Beyond the Rickshaw, the tray features additional cultural details, such as traditional patterns and symbols. These elements pay homage to Pakistan's rich cultural tapestry, adding depth and meaning to the overall design.</li>
</ul>
</div>
</div>
</div>
</section>
</section>
<section id=""shopify-section-template--24024098373947__1707733094f9ded1c0"" class=""shopify-section section"">
<div class=""page-width""><br></div>
</section>
</main>
<div id=""shopify-section-footer"" class=""shopify-section"">
<section class=""why-powerhouse"">
<ul class=""wph-list"">
<li class=""first"">
<div class=""wph-box""></div>
</li>
</ul>
</section>
</div>",ORCHEEE,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Trays,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,3200.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/rickshaw-art-serving-tray.jpg?v=1745735578,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
classic-rickshaw-art-tray,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/rickshaw-art-serving-tray_210b60d7-2d92-497d-8f99-a0062b1ba5af.jpg?v=1745735578,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
riwayati-art-tray,Riwayati Art Tray,"<main id=""MainContent"" class=""content-for-layout focus-none"" role=""main"" tabindex=""-1"">
<section id=""shopify-section-template--24024098373947__main"" class=""shopify-section section"">
<section class=""product-popup"">
<div class=""product-popup-wrap"">
<div class=""box-keyfeatures showfirst"">
<div class=""mpi-about-product-box"">
<h5>Key Features</h5>
<ul>
<li class=""first"">Size: 6.5x13 inches</li>
<li>Material: Bernatiq or Natural Wood</li>
<li>Classic Motifs and Patterns: The Riwayati Art Design Tray showcases a collection of classic motifs and patterns inspired by traditional artistry. From intricate geometric shapes to stylized floral designs, each element tells a story of cultural heritage and craftsmanship.</li>
<li>Warm Earthy Tones: The color palette is a celebration of warm, earthy tones that resonate with the natural beauty of traditional art. Deep browns, rich reds, and muted greens create a harmonious blend, evoking a sense of warmth and comfort.</li>
<li class=""last"">Hand-painted Detailing: Every detail on the tray is meticulously hand-painted by skilled artisans. This manual approach ensures that each tray is a unique work of art, bearing the touch of human hands and the passion of the craftsmen who bring these designs to life.</li>
</ul>
</div>
</div>
</div>
</section>
</section>
<section id=""shopify-section-template--24024098373947__1707733094f9ded1c0"" class=""shopify-section section"">
<div class=""page-width""><br></div>
</section>
</main>
<div id=""shopify-section-footer"" class=""shopify-section"">
<section class=""why-powerhouse"">
<ul class=""wph-list"">
<li class=""first"">
<div class=""wph-box""></div>
</li>
</ul>
</section>
</div>",ORCHEEE,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Trays,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,2900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/riwayati-art-design-tray_2ab124a1-d3af-496c-87e3-f25a637144f0.jpg?v=1745737144,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
riwayati-art-tray,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/riwayati-art-design-tray.jpg?v=1745737144,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
